,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,2358.0,-0.11,0.26,0.88,-0.14,5.36,-6.26,29.71
1,2359.0,-0.12,0.25,0.88,0.31,1.63,-7.31,29.71
2,2360.0,-0.12,0.24,0.86,1.57,0.29,-8.11,29.66
3,2361.0,-0.15,0.22,0.87,6.9,-5.24,-5.59,29.66
4,2362.0,-0.17,0.2,0.9,9.04,-7.36,-5.37,29.61
5,2363.0,-0.19,0.19,0.92,7.91,-4.49,-2.35,29.71
6,2364.0,-0.19,0.18,0.92,3.18,-2.46,0.05,29.66
7,2365.0,-0.18,0.19,0.92,-2.09,-1.59,-1.95,29.75
8,2366.0,-0.17,0.21,0.92,-5.24,-1.08,-3.76,29.71
9,2367.0,-0.2,0.2,0.88,-14.26,-2.55,-30.46,29.61
10,2368.0,-0.19,0.25,0.96,-8.95,-9.89,3.07,29.75
11,2369.0,-0.16,0.22,0.94,-3.62,3.39,-5.15,29.66
12,2370.0,-0.19,0.21,0.95,-2.55,0.81,1.21,29.71
13,2371.0,-0.16,0.22,0.94,-4.72,-3.42,-1.1,29.71
14,2372.0,-0.17,0.22,0.97,-7.68,-1.28,1.77,29.57
15,2373.0,-0.15,0.21,0.95,-1.1,1.04,3.13,29.75
16,2374.0,-0.15,0.22,0.95,1.56,-0.26,4.23,29.71
17,2375.0,-0.17,0.24,0.96,0.5,-1.56,6.23,29.66
18,2376.0,-0.16,0.25,0.96,-4.44,1.5,6.32,29.75
19,2377.0,-0.13,0.25,0.92,-4.95,2.99,4.93,29.71
20,2378.0,-0.11,0.24,0.91,0.98,-1.51,4.44,29.8
21,2379.0,-0.13,0.22,0.93,6.09,-4.96,3.07,29.75
22,2380.0,-0.14,0.21,0.93,5.86,-4.12,4.6,29.66
23,2381.0,-0.15,0.2,0.94,-0.61,-2.12,3.4,29.71
24,2382.0,-0.15,0.2,0.92,-6.24,-0.89,3.1,29.71
25,2383.0,-0.13,0.22,0.92,-7.47,-1.07,2.69,29.75
26,2384.0,-0.11,0.25,0.93,-7.66,-1.57,0.12,29.75
27,2385.0,-0.11,0.24,0.93,-4.73,-2.87,2.09,29.71
28,2386.0,-0.1,0.24,0.92,-1.4,-4.08,1.48,29.61
29,2387.0,-0.12,0.2,0.94,3.44,-6.81,3.88,29.71
30,2388.0,-0.14,0.21,0.96,4.38,-6.84,4.98,29.75
31,2389.0,-0.12,0.21,0.95,0.58,-2.12,3.97,29.61
32,2390.0,-0.11,0.22,0.95,-1.33,-2.6,3.91,29.71
33,2391.0,-0.12,0.23,0.95,1.95,-5.57,3.53,29.75
34,2392.0,-0.1,0.21,0.95,5.86,-2.06,3.85,29.75
35,2393.0,-0.13,0.2,0.94,3.92,-1.59,3.07,29.61
36,2394.0,-0.1,0.2,0.93,-1.05,-1.91,2.2,29.61
37,2395.0,-0.11,0.19,0.94,-3.07,-2.35,-0.47,29.66
38,2396.0,-0.11,0.21,0.95,-1.62,-2.79,0.95,29.61
39,2397.0,-0.12,0.21,0.96,0.23,0.29,0.47,29.71
40,2398.0,-0.11,0.22,0.95,-3.79,3.07,-0.27,29.75
41,2399.0,-0.11,0.23,0.94,-5.59,1.39,0.66,29.66
42,2400.0,-0.09,0.24,0.94,-6.35,1.82,0.34,29.71
43,2401.0,-0.09,0.26,0.93,-3.97,2.76,-0.35,29.71
44,2402.0,-0.11,0.24,0.93,-0.06,0.61,1.73,29.8
45,2403.0,-0.1,0.23,0.93,4.03,-0.85,4.0,29.66
46,2404.0,-0.11,0.22,0.94,4.72,-0.96,2.43,29.71
