,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,44.0,-0.26,2.95,28.86,,,,
1,2824.0,0.16,0.1,0.96,0.72,-0.66,2.75,28.86
2,2825.0,0.16,0.1,0.97,0.18,-0.56,1.83,28.91
3,2826.0,0.16,0.11,0.98,-0.17,0.17,2.55,28.91
4,2827.0,0.16,0.1,0.97,-0.09,1.82,1.71,28.86
5,2828.0,0.16,0.11,0.97,0.75,2.09,2.09,28.86
6,2829.0,0.16,0.11,0.97,0.67,2.2,3.39,28.91
7,2830.0,0.16,0.1,0.95,0.44,2.92,1.74,28.81
8,2831.0,0.16,0.1,0.94,1.69,1.15,2.43,28.86
9,2832.0,0.16,0.08,0.94,4.17,0.66,2.96,28.86
10,2833.0,0.16,0.09,0.95,1.63,1.82,1.22,28.86
11,2834.0,0.16,0.1,0.94,-3.02,1.48,-0.21,28.81
12,2835.0,0.16,0.11,0.97,-5.07,-1.07,0.55,28.81
13,2836.0,0.16,0.11,0.97,-2.18,-0.24,2.41,28.86
14,2837.0,0.16,0.09,0.96,2.14,2.6,2.02,28.86
15,2838.0,0.16,0.1,0.96,2.95,2.96,1.74,28.86
16,2839.0,0.15,0.09,0.95,0.43,1.86,1.13,28.91
17,2840.0,0.15,0.09,0.95,-3.5,0.41,0.24,28.86
18,2841.0,0.16,0.1,0.94,-3.83,0.03,1.45,28.86
19,2842.0,0.16,0.11,0.95,0.23,-1.04,3.1,28.95
20,2843.0,0.16,0.1,0.95,3.65,-0.93,1.71,28.91
21,2844.0,0.16,0.08,0.96,5.36,-2.21,2.06,28.91
22,2845.0,0.15,0.09,0.96,2.99,-3.25,1.13,28.86
23,2846.0,0.15,0.09,0.98,-1.47,-1.71,-0.46,28.86
24,2847.0,0.15,0.1,0.98,-4.72,0.24,-1.13,28.81
25,2848.0,0.16,0.1,0.97,-4.53,0.32,-0.69,28.91
26,2849.0,0.16,0.1,0.97,-1.71,0.05,-0.43,28.86
27,2850.0,0.16,0.1,0.97,0.89,-0.99,-1.34,28.86
28,2851.0,0.16,0.08,0.96,1.36,-0.06,-1.66,28.72
