,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,1.0,,,,,,,
1,2.0,0.12,0.12,0.99,5.98,-1.4,3.05,27.35
2,3.0,0.1,0.11,0.98,4.5,0.79,3.01,27.35
3,4.0,0.11,0.11,0.97,1.68,1.83,2.41,27.26
4,5.0,0.12,0.12,0.96,-0.38,0.73,0.56,27.35
5,6.0,0.12,0.12,0.98,-1.15,0.44,1.27,27.21
6,7.0,0.11,0.12,0.96,-0.82,0.7,1.39,27.31
7,8.0,0.11,0.12,0.96,-1.8,1.45,0.66,27.4
8,9.0,0.11,0.11,0.95,-1.86,1.47,-0.11,27.35
9,10.0,0.12,0.1,0.95,0.17,-0.35,1.95,27.35
10,11.0,0.12,0.09,0.95,4.17,-1.04,3.92,27.31
11,12.0,0.11,0.1,0.95,6.82,-1.76,4.95,27.31
12,13.0,0.11,0.11,0.98,9.59,-2.0,6.52,27.4
13,14.0,0.12,0.11,0.98,9.28,-1.08,4.08,27.35
14,15.0,0.11,0.12,0.98,5.86,0.12,1.44,27.35
15,16.0,0.11,0.13,0.97,0.87,0.41,0.0,27.35
16,17.0,0.12,0.13,0.97,-1.59,0.2,-0.24,27.31
17,18.0,0.13,0.13,0.96,-1.89,0.05,-0.49,27.31
18,19.0,0.12,0.13,0.97,1.04,-0.4,1.15,27.35
19,20.0,0.12,0.13,0.98,0.81,0.12,0.98,27.45
20,21.0,0.11,0.12,0.97,-1.74,0.89,0.44,27.45
21,22.0,0.11,0.11,0.97,-4.84,0.99,0.32,27.35
22,23.0,0.12,0.11,0.97,-5.42,0.46,-0.18,27.31
23,24.0,0.12,0.1,0.97,-6.35,1.01,-1.77,27.4
24,25.0,0.12,0.12,0.97,-6.14,-0.35,-1.34,27.35
25,26.0,0.13,0.12,0.97,-3.83,-1.01,-0.78,27.35
26,27.0,0.13,0.12,0.97,-1.54,-0.41,-1.28,27.31
27,28.0,0.11,0.11,0.97,0.43,-0.84,-1.36,27.31
28,29.0,0.13,0.09,0.96,-0.72,-1.01,-2.4,27.4
29,30.0,0.12,0.09,0.97,-1.16,-1.37,-1.86,27.35
30,31.0,0.13,0.1,0.98,-0.7,-1.54,-1.91,27.45
31,32.0,0.12,0.11,0.98,0.98,-1.27,1.4,27.35
32,33.0,0.12,0.11,0.98,2.18,0.09,1.47,27.31
33,34.0,0.11,0.11,0.97,2.27,1.01,1.68,27.4
34,35.0,0.12,0.11,0.95,1.11,1.66,2.79,27.31
35,36.0,0.13,0.1,0.94,1.08,0.15,1.94,27.45
36,37.0,0.12,0.1,0.94,0.55,-1.02,2.11,27.35
37,38.0,0.12,0.12,0.97,-0.55,-1.33,1.16,27.31
38,39.0,0.12,0.14,0.97,-2.58,-1.5,-0.76,27.31
39,40.0,0.13,0.14,0.97,-3.19,-0.6,-0.93,27.4
40,41.0,0.12,0.14,0.95,0.35,-1.6,1.25,27.35
41,42.0,0.12,0.13,0.95,6.92,-3.22,2.72,27.35
42,43.0,0.13,0.12,0.95,11.88,-3.54,2.87,27.35
43,44.0,0.12,0.12,0.99,11.92,-4.27,2.5,27.45
44,45.0,0.12,0.11,1.0,6.67,-3.68,0.2,27.4
45,46.0,0.12,0.1,1.0,-0.02,-2.32,-0.34,27.31
46,47.0,0.13,0.1,0.99,-2.79,-0.2,-1.66,27.45
47,48.0,0.12,0.1,0.97,-1.48,-0.09,-0.75,27.26
48,49.0,0.13,0.1,0.95,3.33,-1.13,1.02,27.45
49,50.0,0.11,0.11,0.97,8.32,-2.23,2.52,27.4
50,51.0,0.12,0.11,0.97,10.23,-1.82,1.59,27.31
51,52.0,0.1,0.1,0.98,7.62,-0.61,0.47,27.45
52,53.0,0.11,0.09,0.97,2.95,-0.18,0.5,27.45
53,54.0,0.12,0.09,0.97,0.14,-1.44,0.17,27.26
54,55.0,0.12,0.11,0.96,-0.78,-1.08,1.28,27.21
55,56.0,0.13,0.11,0.96,-1.01,-0.66,1.77,27.4
56,57.0,0.12,0.12,0.96,-0.64,-1.85,3.21,27.31
57,58.0,0.12,0.13,0.96,2.06,-1.57,3.76,27.35
58,59.0,0.13,0.13,0.95,5.11,-0.34,3.83,27.35
59,60.0,0.13,0.12,0.95,6.93,-1.19,3.31,27.45
60,61.0,0.14,0.14,0.96,5.08,-3.13,2.55,27.4
61,62.0,0.14,0.12,0.98,2.0,-3.53,1.54,27.4
62,63.0,0.14,0.13,1.0,2.03,-3.45,2.35,27.4
63,64.0,0.13,0.15,0.99,2.98,-2.44,1.86,27.45
64,65.0,0.13,0.15,0.98,4.52,0.58,1.97,27.45
65,66.0,0.13,0.14,0.97,3.91,1.82,1.11,27.35
66,67.0,0.13,0.12,0.97,3.4,1.01,0.75,27.35
67,68.0,0.12,0.12,0.96,2.96,0.9,1.39,27.4
68,69.0,0.13,0.11,0.95,2.35,1.63,-0.06,27.35
69,70.0,0.14,0.12,0.97,-0.7,0.6,-2.14,27.45
70,71.0,0.13,0.13,0.98,-3.3,0.12,-2.08,27.45
71,72.0,0.12,0.13,0.97,-3.01,0.67,-0.81,27.4
72,73.0,0.12,0.14,0.97,2.14,1.25,1.44,27.4
73,74.0,0.12,0.13,0.95,4.99,2.53,0.37,27.4
74,75.0,0.13,0.13,0.92,3.83,2.15,-0.61,27.35
75,76.0,0.13,0.12,0.92,1.31,-1.48,-0.29,27.35
76,77.0,0.13,0.12,0.94,2.92,-3.44,0.82,27.35
77,78.0,0.13,0.11,0.94,7.15,-2.69,2.44,27.31
78,79.0,0.14,0.12,0.96,8.95,-1.54,2.05,27.4
79,80.0,0.13,0.13,0.95,7.65,-1.77,1.82,27.31
80,81.0,0.11,0.13,0.95,3.66,-1.39,0.98,27.45
81,82.0,0.13,0.13,0.93,0.49,-0.9,-1.5,27.35
82,83.0,0.14,0.14,0.94,-0.06,-2.58,0.24,27.45
83,84.0,0.13,0.14,0.93,-0.93,-4.08,-1.39,27.4
84,85.0,0.13,0.14,0.96,1.76,-4.41,-1.42,27.4
85,86.0,0.13,0.14,0.95,4.29,-3.91,-0.63,27.35
86,87.0,0.12,0.13,0.96,4.09,-2.81,-2.44,27.35
87,88.0,0.11,0.14,0.96,2.37,-2.49,-1.44,27.45
