,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,-1.1,29.66,,,,,,
1,2935.0,-0.03,-0.05,0.97,-2.58,3.07,-1.57,29.61
2,2936.0,-0.02,-0.06,0.94,-0.5,0.63,-0.79,29.61
3,2937.0,-0.03,-0.06,0.95,1.66,0.38,-1.16,29.57
4,2938.0,-0.03,-0.07,0.97,1.24,0.34,-1.33,29.57
5,2939.0,-0.04,-0.06,0.98,-3.21,0.72,-0.66,29.61
6,2940.0,-0.03,-0.07,0.97,-3.44,0.81,0.35,29.71
7,2941.0,-0.03,-0.07,0.98,-0.67,0.89,1.31,29.71
8,2942.0,-0.03,-0.05,0.97,-0.75,3.45,1.8,29.57
9,2943.0,-0.03,-0.04,0.97,-0.52,1.48,2.21,29.57
10,2944.0,-0.03,-0.04,0.97,-0.06,-1.42,2.41,29.61
11,2945.0,-0.03,-0.05,0.97,0.11,-0.5,2.08,29.61
12,2946.0,-0.02,-0.04,0.99,0.5,0.76,2.14,29.57
13,2947.0,-0.02,-0.05,0.98,0.08,1.01,1.97,29.66
14,2948.0,-0.03,-0.03,0.97,-0.52,1.95,4.17,29.61
15,2949.0,-0.01,-0.04,0.96,0.09,1.37,4.34,29.61
16,2950.0,-0.01,-0.04,0.96,1.89,0.18,2.81,29.57
17,2951.0,-0.01,-0.03,0.97,3.07,1.19,2.64,29.57
18,2952.0,-0.01,-0.05,0.98,0.82,2.63,2.0,29.61
19,2953.0,-0.01,-0.06,0.96,-0.7,1.25,1.37,29.61
20,2954.0,-0.01,-0.06,0.96,-1.02,0.89,1.68,29.57
21,2955.0,-0.0,-0.06,0.96,0.15,1.39,2.63,29.57
22,2956.0,0.0,-0.06,0.96,2.38,-0.44,2.92,29.61
23,2957.0,0.0,-0.06,0.97,4.82,-1.57,4.56,29.52
24,2958.0,-0.0,-0.06,0.98,2.96,-0.6,4.34,29.61
25,2959.0,0.0,-0.05,0.99,1.31,0.17,3.59,29.66
26,2960.0,0.0,-0.06,0.98,1.5,0.05,3.31,29.61
27,2961.0,0.0,-0.05,0.98,1.56,1.6,2.17,29.52
28,2962.0,0.01,-0.05,0.97,0.75,3.56,1.59,29.57
29,2963.0,0.01,-0.06,0.96,-1.36,3.11,1.28,29.66
30,2964.0,0.01,-0.06,0.94,-2.79,0.53,1.15,29.52
31,2965.0,0.02,-0.05,0.95,-1.95,-0.78,1.51,29.42
32,2966.0,0.03,-0.05,0.94,1.22,-1.22,1.5,29.66
33,2967.0,0.02,-0.07,0.94,3.16,-2.21,2.92,29.57
34,2968.0,0.01,-0.07,0.96,1.13,-2.58,2.4,29.61
35,2969.0,0.01,-0.06,0.98,-0.52,-1.79,2.66,29.61
36,2970.0,0.0,-0.06,0.97,-0.73,1.1,2.18,29.66
37,2971.0,0.02,-0.05,0.95,-0.14,0.58,2.93,29.66
38,2972.0,0.01,-0.06,0.94,2.38,-2.14,2.49,29.61
39,2973.0,-0.0,-0.07,0.94,2.2,-2.92,2.66,29.71
40,2974.0,0.0,-0.06,0.96,-2.02,-1.85,2.06,29.57
41,2975.0,0.01,-0.07,0.96,-7.3,-1.91,0.15,29.57
42,2976.0,0.0,-0.07,0.95,-9.28,-3.25,0.73,29.71
43,2977.0,0.01,-0.07,0.96,-8.82,-3.02,0.76,29.61
44,2978.0,0.01,-0.06,0.96,-3.86,-4.23,2.31,29.57
45,2979.0,0.01,-0.05,0.97,0.38,-5.15,1.16,29.66
46,2980.0,-0.0,-0.07,0.98,1.25,-3.21,0.61,29.61
47,2981.0,-0.01,-0.06,0.98,-2.79,-1.45,0.55,29.71
48,2982.0,-0.01,-0.06,0.98,-3.82,-2.72,1.16,29.57
49,2983.0,0.0,-0.05,0.97,-0.34,-2.58,2.14,29.66
50,2984.0,0.01,-0.07,0.96,4.55,-0.6,3.18,29.61
51,2985.0,0.01,-0.06,0.95,6.58,-1.53,5.19,29.61
52,2986.0,-0.0,-0.06,0.97,3.91,-4.31,7.24,29.57
53,2987.0,-0.0,-0.06,0.98,-0.35,-3.21,6.67,29.66
54,2988.0,0.0,-0.06,0.97,-6.18,-0.98,4.26,29.61
55,2989.0,0.01,-0.04,0.96,-6.12,-2.21,3.1,29.61
56,2990.0,0.01,-0.07,0.96,-3.71,-2.69,2.4,29.57
57,2991.0,0.0,-0.04,0.97,-5.56,-1.73,2.08,29.57
58,2992.0,0.01,-0.04,0.96,-4.44,-2.96,3.28,29.71
59,2993.0,-0.0,-0.03,0.96,-7.62,-4.81,2.02,29.61
60,2994.0,-0.0,-0.04,0.96,-8.44,-4.24,0.21,29.57
61,2995.0,0.0,-0.05,0.97,-3.95,-5.3,3.51,29.57
62,2996.0,0.02,-0.02,0.99,3.15,-8.79,9.22,29.61
63,2997.0,0.02,-0.06,0.99,8.84,-7.79,10.41,29.61
64,2998.0,0.03,-0.05,1.06,6.63,-12.43,5.82,29.66
65,2999.0,0.06,-0.05,1.22,8.17,-17.8,6.6,29.66
66,3000.0,0.1,-0.06,1.33,12.99,-15.63,13.44,29.52
67,3001.0,0.08,-0.05,1.5,11.53,-17.28,15.13,29.61
68,3002.0,0.04,-0.08,1.67,7.86,-22.47,21.5,29.66
69,3003.0,0.04,-0.02,1.9,-17.92,-26.11,22.06,29.66
70,3004.0,0.08,0.03,2.2,-34.9,-34.2,19.16,29.61
71,3005.0,0.07,0.04,2.47,-40.08,-22.31,12.15,29.61
72,3006.0,0.11,-0.21,2.72,-35.01,-13.62,7.1,29.66
73,3007.0,0.03,-0.31,2.89,-42.73,-5.47,31.97,29.57
74,3008.0,-0.24,-0.6,3.18,-84.11,16.24,10.58,29.61
75,3009.0,-0.04,-0.46,3.39,-122.44,37.02,43.8,29.66
76,3010.0,0.02,-0.35,3.25,-136.03,63.21,71.95,29.66
77,3011.0,0.28,-0.13,2.95,-116.31,74.12,94.52,29.61
78,3012.0,0.43,0.04,2.73,-73.8,62.58,84.46,29.71
79,3013.0,0.22,-0.06,2.69,2.66,42.6,58.72,29.66
80,3014.0,0.22,0.01,2.66,29.54,70.05,30.34,29.66
81,3015.0,0.12,0.01,2.57,-0.2,90.55,7.76,29.61
82,3016.0,0.12,-0.01,2.35,-30.14,93.01,13.24,29.61
83,3017.0,0.13,-0.12,2.0,-64.89,89.63,18.93,29.66
84,3018.0,0.23,-0.12,1.63,-69.53,86.43,56.37,29.66
85,3019.0,0.21,-0.2,1.27,-61.07,72.09,32.23,29.71
86,3020.0,-0.11,-0.51,1.12,-39.59,33.33,7.31,29.61
87,3021.0,-0.14,-0.4,0.75,-15.98,14.73,-9.76,29.61
88,3022.0,-0.18,-0.46,0.82,24.98,-6.81,-10.79,29.57
89,3023.0,-0.16,-0.44,0.79,61.33,0.99,-30.0,29.61
90,3024.0,-0.25,-0.59,0.83,114.87,8.64,-65.22,29.52
91,3025.0,-0.45,-0.74,0.76,172.2,23.98,-62.24,29.47
92,3026.0,-0.45,-0.79,0.5,191.28,69.19,-77.56,29.57
93,3027.0,-0.22,-0.49,0.18,150.2,113.63,-45.33,29.61
94,3028.0,-0.06,-0.5,-0.43,65.59,104.21,-32.76,29.61
95,3029.0,0.14,-0.31,-0.83,-42.53,56.49,-27.54,29.66
96,3030.0,0.4,-0.11,-1.22,-86.79,-14.58,-38.76,29.66
97,3031.0,0.28,-0.1,-1.11,37.27,-112.55,-19.77,29.61
98,3032.0,0.11,-0.05,-0.83,196.67,-136.55,-17.62,29.61
99,3033.0,-0.05,0.01,-0.63,281.69,-66.9,-3.21,29.66
100,3034.0,-0.04,-0.04,-0.49,304.02,-32.0,-0.85,29.66
101,3035.0,-0.33,-0.01,-0.6,255.1,-30.05,-32.89,29.61
